"test url","fcp","fid","lcp","cls","date","device"
"https://www.99acres.com/property-in-noida-ffid","2079","6","2698","0.05","2022-02-25 12:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2285","6","2661","0.2","2022-02-25 12:00","desktop"
"https://www.99acres.com/commercial-property-in-noida-ffid","1785","no data","2501","0.06","2022-02-25 12:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2079","6","2698","0.05","2022-02-25 12:00","desktop"
"https://www.99acres.com","1827","4","2602","0.09","2022-02-25 12:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2079","6","2698","0.05","2022-02-25 15:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2285","6","2661","0.2","2022-02-25 15:00","desktop"
"https://www.99acres.com/commercial-property-in-noida-ffid","1785","no data","2501","0.06","2022-02-25 15:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2079","6","2698","0.05","2022-02-25 15:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2079","6","2698","0.05","2022-02-25 18:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2285","6","2661","0.2","2022-02-25 18:00","desktop"
"https://www.99acres.com/commercial-property-in-noida-ffid","1785","no data","2501","0.06","2022-02-25 18:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2079","6","2698","0.05","2022-02-25 18:00","desktop"
"https://www.99acres.com","1827","4","2602","0.09","2022-02-25 15:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2079","6","2698","0.05","2022-02-25 20:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2285","6","2661","0.2","2022-02-25 20:00","desktop"
"https://www.99acres.com/commercial-property-in-noida-ffid","1785","no data","2501","0.06","2022-02-25 20:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2079","6","2698","0.05","2022-02-25 20:00","desktop"
"https://www.99acres.com","1827","4","2602","0.09","2022-02-25 18:00","desktop"
"https://www.99acres.com","1827","4","2602","0.09","2022-02-25 22:00","desktop"
"https://www.99acres.com","1827","4","2602","0.09","2022-02-25 20:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2079","6","2698","0.05","2022-02-25 22:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2285","6","2661","0.2","2022-02-25 22:00","desktop"
"https://www.99acres.com/commercial-property-in-noida-ffid","1785","no data","2501","0.06","2022-02-25 22:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2079","6","2698","0.05","2022-02-25 22:00","desktop"
"https://www.99acres.com","1827","4","2602","0.09","2022-02-26 06:55","desktop"
"https://www.99acres.com/property-in-noida-ffid","2079","6","2698","0.05","2022-02-26 06:55","desktop"
